feature,score,selected
den_determiners,0.3917315296098165,True
den_function_words,0.3743824952719499,True
den_noun_ratio,0.3229441205091441,True
poslm_bo_bigram_ce_max,0.30550650810355684,True
poslm_bo_bigram_ce_mean,0.30550650810355684,True
poslm_bo_bigram_ce_median,0.30550650810355684,True
poslm_bo_bigram_ce_q1,0.30550650810355684,True
poslm_bo_bigram_ce_min,0.30550650810355684,True
poslm_bo_bigram_ce_q3,0.30550650810355684,True
poslm_bo_bigram_ce_p99,0.30550650810355684,True
poslm_bo_bigram_ce_p1,0.30550650810355684,True
den_verbs,0.298715864849437,True
poslm_bo_bigram_ppl_mean,0.2980481080045725,True
poslm_bo_bigram_ppl_median,0.2980481080045725,True
den_prepositions,0.2955276482131808,True
den_nouns,0.2823178349489668,True
poslm_bo_trigram_ppl_mean,0.2708819133505562,True
poslm_bo_trigram_ppl_median,0.2708819133505562,True
poslm_bo_trigram_ce_median,0.25455912887185983,True
poslm_bo_trigram_ce_q3,0.25455912887185983,True
poslm_bo_trigram_ce_mean,0.25455912887185983,True
poslm_bo_trigram_ce_min,0.25455912887185983,True
poslm_bo_trigram_ce_p99,0.25455912887185983,True
poslm_bo_trigram_ce_q1,0.25455912887185983,True
poslm_bo_trigram_ce_p1,0.25455912887185983,True
poslm_bo_trigram_ce_max,0.25455912887185983,True
den_phones_utt_std,0.24284646073738037,True
den_words_utt_std,0.24153520202473855,True
den_phones_utt_q3,0.23900285496061446,True
den_pronoun_ratio,0.23893272269087795,True
lex_phones_max,0.23428636918498658,True
den_words_utt_q3,0.23287429351567424,True
dys_fillers_per_phone,0.2264734894413194,True
dys_fillers_per_word,0.2256630269305271,True
dys_pauses_per_min,0.2165077884264277,True
den_words_utt_mean,0.21463573745258735,True
den_words_per_min,0.21441909784768098,True
den_phones_per_min,0.213901185376288,True
den_phones_utt_mean,0.21366277834558867,True
dys_fillers_per_min,0.19466269150126614,True
den_phones_utt_max,0.18976356165270492,False
den_words_utt_max,0.1883426981345293,False
den_phones_utt_mad,0.18694314810967372,False
dys_pause_sec_max,0.1828056678230645,False
den_words_utt_mad,0.18268123368364897,False
den_light_verbs,0.17118012450612152,False
lex_phones_mean,0.16779503224213066,False
den_phones_utt_p90,0.16749525188531056,False
den_words_utt_p90,0.16726115517071038,False
dys_long_pauses_per_min,0.16566994209043928,False
den_adjectives,0.1649440219532745,False
den_adverbs,0.1625815948925129,False
den_phones_utt_iqr,0.15961019539789367,False
den_words_utt_iqr,0.15081906783621646,False
lex_phones_std,0.1460389057736622,False
den_nouns_per_verb,0.1411261810130615,False
dys_short_pauses_per_min,0.13993327587650217,False
lex_phones_kurt,0.13856778618698273,False
den_OCW,0.13471768188494426,False
dys_pause_sec_q3,0.13100616048723213,False
den_phones_utt_p10,0.1287820205730874,False
den_phones_utt_q1,0.12857239362735262,False
dys_pause_sec_min,0.12774451315159752,False
dys_pauses_per_word,0.1251116587840393,False
den_words_utt_median,0.12483440606258034,False
den_words_utt_q1,0.11961099364771588,False
den_phones_utt_median,0.11710692760396002,False
den_words_utt_p10,0.11409868996833117,False
dys_pause_sec_median,0.11353888233409082,False
lex_phones_skew,0.10567650222984071,False
dys_pause_sec_p90,0.10460871667809402,False
lex_ttr,0.10210577391398967,False
dys_pause_sec_mean,0.10106426687649783,False
den_words_utt_skew,0.09463079413395503,False
dys_short_pauses_per_word,0.08021211815843321,False
lex_phones_iqr,0.0797975537870963,False
den_phones_utt_skew,0.0795293960656811,False
lex_phones_p90,0.07585141727187672,False
dys_long_pauses_per_word,0.07435185293675506,False
lex_phones_p10,0.07358997866553296,False
lex_phones_q3,0.07269236167387283,False
dys_pause_sec_mad,0.06694788229867221,False
dys_pause_sec_kurt,0.059926990233483135,False
den_W,0.05955767185796157,False
den_words_utt_kurt,0.0552897996548114,False
den_phones_utt_kurt,0.05396637647334268,False
dys_pause_sec_p10,0.047864039429371896,False
dys_pause_sec_skew,0.04062656857049429,False
dys_pause_sec_iqr,0.03308342205011927,False
lex_phones_q1,0.030862895171032134,False
dys_pause_sec_std,0.025842705041637437,False
den_phones_utt_min,0.019821484168142778,False
den_words_utt_min,0.008968467421723192,False
lex_phones_mad,0.006997945455840648,False
poslm_bo_bigram_ce_range_p1_p99,0.00391318119902373,False
poslm_bo_bigram_ce_kurtosis,0.0016125506798854161,False
lex_phones_median,0.0011144515436236624,False
den_demonstratives,0.0,False
lex_phones_min,0.0,False
dys_pause_sec_q1,0.0,False
poslm_bo_bigram_ce_skewness,0.0,False
poslm_bo_bigram_ce_iqr,0.0,False
poslm_bo_bigram_ce_std,0.0,False
poslm_bo_trigram_ce_std,0.0,False
poslm_bo_trigram_ce_range_p1_p99,0.0,False
poslm_bo_trigram_ce_iqr,0.0,False
poslm_bo_trigram_ce_kurtosis,0.0,False
poslm_bo_trigram_ce_skewness,0.0,False
